whisky,meta_critic,stdev,#,cost,class,super_cluster,cluster,country,type,alt_brand
Glenfarclas 40yo,9.25,0.3,11,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,40 glenfarclas
Amrut Greedy Angels (8yo and 10yo),9.2,0.2,6,$$$$$+,SingleMalt-like,ABC,C,India,Malt,10 8 amrut and angels greedy
Redbreast 21yo,9.19,0.32,13,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt,21 redbreast
Amrut Spectrum,9.18,0.25,8,$$$$$,SingleMalt-like,ABC,C,India,Malt,amrut spectrum
Highland Park 25yo,9.17,0.24,13,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,25 highland park
Highland Park 40yo,9.17,0.43,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,40 highland park
Glengoyne 25yo,9.16,0.27,9,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,25 glengoyne
Laphroaig 25yo,9.16,0.31,15,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,25 laphroaig
Balvenie TUN 1401 (all 8 batches),9.15,0.3,14,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,1401 8 all balvenie batches tun
Highland Park 30yo,9.15,0.41,12,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,30 highland park
Aberlour A'Bunadh (Batch 49),9.14,0.07,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,49 a'bunadh aberlour batch
Yamazaki 18yo,9.14,0.21,20,$$$$$,SingleMalt-like,ABC,C,Japan,Malt,18 yamazaki
Aberlour A'Bunadh (Batch 33),9.13,0.13,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,33 a'bunadh aberlour batch
Kavalan Solist Sherry Cask,9.13,0.36,14,$$$$$,SingleMalt-like,ABC,A,Taiwan,Malt,cask kavalan sherry solist
BenRiach 18yo Albariza Pedro Ximenez Peated,9.12,0.22,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,18 albariza benriach peated pedro ximenez
Nikka Single Cask Coffey Malt 12yo,9.12,0.48,9,$$$$$,SingleMalt-like,ABC,C,Japan,Malt,12 cask coffey malt nikka single
Aberlour A'Bunadh (Batch 37),9.11,0.06,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,37 a'bunadh aberlour batch
Aberlour A'Bunadh (Batch 40),9.11,0.16,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,40 a'bunadh aberlour batch
Highland Park 18yo,9.11,0.23,22,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,18 highland park
Aberlour A'Bunadh (Batch 53),9.09,0.01,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,53 a'bunadh aberlour batch
Bowmore Springtide,9.09,0.77,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,bowmore springtide
Highland Park 16yo Odin,9.09,0.26,7,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,16 highland odin park
Yamazaki Sherry Cask (all vintages),9.08,0.3,11,$$$$$+,SingleMalt-like,ABC,A,Japan,Malt,all cask sherry vintages yamazaki
GlenDronach Cask Strength (batch 1),9.06,0.27,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,1 batch cask glendronach strength
Benromach 10yo Cask Strength (100 proof),9.05,0.12,9,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,10 100 benromach cask proof strength
GlenDronach Cask Strength (batch 2),9.05,0.09,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,2 batch cask glendronach strength
Springbank 21yo,9.05,0.19,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,21 springbank
Aberlour A'Bunadh (Batch 39),9.04,0.23,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,39 a'bunadh aberlour batch
Highland Park 15yo Loki,9.04,0.24,15,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,15 highland loki park
Aberlour A'Bunadh (Batch 54),9.03,0.11,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,54 a'bunadh aberlour batch
Bunnahabhain 18yo,9.03,0.19,14,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,18 bunnahabhain
GlenDronach vintage 20yo Single Cask (all vintages),9.03,0.38,12,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,20 all cask glendronach single vintage vintages
Aberlour A'Bunadh (Batch 35),9.01,0.22,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,35 a'bunadh aberlour batch
Karuizawa 1990 Sherry Butt,9.01,0.28,4,$$$$$+,SingleMalt-like,ABC,A,Japan,Malt,1990 butt karuizawa sherry
Aberlour A'Bunadh (Batch 36),9.0,0.48,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,36 a'bunadh aberlour batch
Aberlour A'Bunadh (Batch 45),9.0,0.27,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,45 a'bunadh aberlour batch
Bowmore 15yo Laimrig,9.0,0.16,14,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,15 bowmore laimrig
Amrut Portonova,8.99,0.3,16,$$$$,SingleMalt-like,ABC,C,India,Malt,amrut portonova
Glenmorangie Signet,8.99,0.4,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,glenmorangie signet
Kavalan Solist Port Cask,8.99,0.42,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,cask kavalan port solist
Balvenie TUN 1509 (all 3 batches),8.98,0.22,10,$$$$$+,SingleMalt-like,ABC,B,Scotland,Malt,1509 3 all balvenie batches tun
Kavalan Solist Fino Sherry Cask,8.98,0.36,10,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt,cask fino kavalan sherry solist
Kavalan Solist Vinho Barrique,8.98,0.34,13,$$$$$,SingleMalt-like,ABC,A,Taiwan,Malt,barrique kavalan solist vinho
Tomatin 40yo,8.98,0.34,3,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,40 tomatin
Aberlour A'Bunadh (Batch 52),8.97,0.14,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,52 a'bunadh aberlour batch
Hakushu Sherry Cask,8.97,0.44,7,$$$$$+,SingleMalt-like,ABC,B,Japan,Malt,cask hakushu sherry
Nikka Taketsuru 21yo,8.97,0.28,16,$$$$$,SingleMalt-like,ABC,C,Japan,Malt,21 nikka taketsuru
Aberlour A'Bunadh (Batch 30),8.96,0.17,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,30 a'bunadh aberlour batch
BenRiach 35yo,8.96,0.59,5,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,35 benriach
GlenDronach vintage 19yo Single Cask (all vintages),8.96,0.36,13,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,19 all cask glendronach single vintage vintages
Glenlivet Alpha,8.96,0.1,4,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,alpha glenlivet
Aberlour A'Bunadh (all batches),8.95,0.16,23,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,a'bunadh aberlour all batches
Amrut Intermediate Sherry,8.95,0.41,16,$$$$,SingleMalt-like,ABC,B,India,Malt,amrut intermediate sherry
Glengoyne 40yo,8.95,0.8,3,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,40 glengoyne
Millstone 12yo Sherry Cask,8.95,0.25,7,$$$$,SingleMalt-like,ABC,C,Netherlands,Malt,12 cask millstone sherry
Aberlour A'Bunadh (Batch 47),8.94,0.36,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,47 a'bunadh aberlour batch
BenRiach 17yo Solstice Peated Port (both editions),8.94,0.29,11,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,17 benriach both editions peated port solstice
Bowmore 25yo,8.94,0.46,8,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,25 bowmore
Aberlour A'Bunadh (Batch 46),8.93,0.05,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,46 a'bunadh aberlour batch
Amrut Kadhambam,8.93,0.29,12,$$$$,SingleMalt-like,ABC,C,India,Malt,amrut kadhambam
Bushmills 21yo Single Malt,8.93,0.34,11,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt,21 bushmills
GlenDronach 15yo Revival,8.91,0.28,19,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,15 glendronach revival
GlenDronach Cask Strength (batch 3),8.91,0.4,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,3 batch cask glendronach strength
GlenDronach Cask Strength (batch 4),8.91,0.31,9,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,4 batch cask glendronach strength
Glenlivet XXV 25yo,8.91,0.19,9,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,25 glenlivet xxv
Highland Park 16yo Thor,8.91,0.32,12,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,16 highland park thor
Highland Park 21yo,8.91,0.41,16,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,21 highland park
BenRiach 17yo Solstice 2nd Peated Port Finish,8.9,0.44,11,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,17 2nd benriach finish peated port solstice
Aberlour A'Bunadh (Batch 34),8.89,0.29,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,34 a'bunadh aberlour batch
AnCnoc 1975,8.89,0.56,4,$$$$$+,SingleMalt-like,ABC,B,Scotland,Malt,1975 ancnoc
BenRiach 18yo Latada,8.89,0.13,4,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt,18 benriach latada
Macallan 10yo Sherry Oak Cask Strength,8.89,0.52,6,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,10 cask macallan oak sherry strength
Macallan 18yo Sherry Oak,8.89,0.34,16,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,18 macallan oak sherry
Macallan Cask Strength,8.89,0.4,12,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,cask macallan strength
Springbank 13yo Green,8.89,0.21,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,13 green springbank
BenRiach 17yo Solstice 1st Peated Port Finish,8.88,0.2,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,17 1st benriach finish peated port solstice
Glengoyne 21yo,8.87,0.21,14,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,21 glengoyne
Longrow Red 12yo Pinot Noir Finish,8.87,0.38,6,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,12 finish longrow noir pinot red
Springbank 12yo Cask Strength,8.87,0.25,16,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,12 cask springbank strength
Aberlour A'Bunadh (Batch 32),8.86,0.67,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,32 a'bunadh aberlour batch
Glenlivet Nadurra 16yo,8.86,0.2,21,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,glenlivet nadurra
Macallan 25yo Sherry Oak,8.86,0.46,8,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,25 macallan oak sherry
Glenmorangie Companta,8.85,0.56,12,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,companta glenmorangie
Bunnahabhain 25yo,8.84,0.36,15,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,25 bunnahabhain
Glengoyne Teapot Dram (all batches),8.84,0.44,6,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,all batches dram glengoyne teapot
Laphroaig Cairdeas 2013 Port Wood,8.84,0.46,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,2013 cairdeas laphroaig port wood
Longrow Red 11yo Australian Shiraz,8.83,0.34,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,11 australian longrow red shiraz
Longmorn 15yo,8.82,0.37,8,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,15 longmorn
Bowmore 10yo Devil's Cask (all batches),8.81,0.32,16,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,10 all batches bowmore cask devil
Redbreast Lustau Edition,8.81,0.39,4,$$$$,SingleMalt-like,ABC,C,Ireland,Malt,edition lustau redbreast
Aberlour 12yo Non-Chill-Filtered,8.8,0.25,11,$$$,SingleMalt-like,ABC,B,Scotland,Malt,12 aberlour chill filtered non
Amrut PX Sherry Single Cask,8.8,0.45,8,$$$$,SingleMalt-like,ABC,A,India,Malt,amrut cask px sherry single
GlenDronach Cask Strength (batch 5),8.8,0.16,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5 batch cask glendronach strength
Green Spot Château Léoville Barton,8.8,0.33,7,$$$$,SingleMalt-like,ABC,C,Ireland,Blend,barton château green léoville spot
Highland Park 15yo Fire,8.8,0.43,6,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,15 fire highland park
Royal Brackla 21yo,8.8,0.18,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,21 brackla royal
Aberlour A'Bunadh (Batch 48),8.79,0.53,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,48 a'bunadh aberlour batch
GlenDronach 12yo Sauternes Cask Finish,8.79,0.21,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,12 cask finish glendronach sauternes
Knappogue Castle 16yo Twin Wood,8.79,0.47,5,$$$$,SingleMalt-like,ABC,C,Ireland,Malt,16 castle knappogue twin wood
Aberlour A'Bunadh (Batch 42),8.78,0.11,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,42 a'bunadh aberlour batch
Balvenie 21yo Port Wood,8.78,0.38,15,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,21 balvenie portwood
Compass Box This is Not a Luxury Whisky,8.78,0.46,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,a box compass is luxury not this
Macallan 1824 Ruby,8.78,0.21,11,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,1824 macallan ruby
Aberlour 18yo,8.77,0.28,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,18 aberlour
Arran Malt Amarone Cask Finish,8.77,0.35,10,$$$,SingleMalt-like,ABC,B,Scotland,Malt,amarone arran cask finish malt
Jura Brooklyn,8.77,0.21,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,brooklyn jura
Glenfarclas 105,8.76,0.35,21,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,105 glenfarclas
Glenmorangie Nectar d'Or,8.76,0.29,20,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,d'or glenmorangie nectar
Glenfarclas 17yo,8.75,0.27,17,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt,17 glenfarclas
Glengoyne Cask Strength (batch 1),8.75,0.46,4,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,1 batch cask glengoyne strength
AnCnoc 22yo,8.74,0.31,9,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,22 ancnoc
Kavalan Sherry Oak,8.74,0.31,4,$$$$$,SingleMalt-like,ABC,B,Taiwan,Malt,kavalan oak sherry
Longmorn 16yo,8.74,0.33,17,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,16 longmorn
Macallan 1824 Sienna,8.74,0.35,16,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,1824 macallan sienna
