brand,size,avg_rating,critic_score,altprice,price_per_oz
(ri)1 Rye Whiskey,25.360113,NULL,NULL,39.99,1.5768857753717413
1792 Bourbon Full Proof,25.360113,84.0,8.949999809265137,47.99,1.8923417812104886
1792 High Rye,25.360113,86.0,NULL,39.99,1.5768857753717413
1792 Port Finish Bourbon,25.360113,79.4,8.470000267028809,42.99,1.6951817775612716
1792 Single Barrel Bourbon,25.360113,NULL,8.600000381469727,42.99,1.6951817775612716
1792 Small Batch Bourbon,25.360113,78.2,NULL,33.99,1.340293770992681
1792 Sweet Wheat Bourbon,25.360113,81.875,8.65999984741211,39.99,1.5768857753717413
2 Gingers Irish Whiskey,1.6906742,NULL,8.0600004196167,2.49,1.4727852536696355
2 Gingers Irish Whiskey,25.360113,NULL,8.0600004196167,17.99,0.709381684104614
Aberlour 12 Year Single Malt Scotch,25.360113,NULL,NULL,59.99,2.3655257899686095
Aberlour 16 Year Single Malt Scotch,25.360113,85.29629629629629,NULL,84.99,3.351325657793549
Abraham Bowman Gingerbread Cocoa Finish Bourbon,12.680057,NULL,NULL,39.99,3.1537715507434827
Abraham Bowman Wheat Bourbon Limited Edition,25.360113,NULL,NULL,69.99,2.759845646845898
Alberta Dark Batch Rye Whiskey,25.360113,NULL,8.699999809265137,29.99,1.1825656928627348
Ancient Age Bourbon,12.680057,76.33333333333333,NULL,6.49,0.5118273514228299
Ancient Age Bourbon,25.360113,76.33333333333333,NULL,12.99,0.512221680455397
Ancient Age Bourbon,33.813484,76.33333333333333,NULL,14.99,0.44331426143631286
Ancient Age Bourbon,59.1736,76.33333333333333,NULL,26.99,0.45611556701506784
Ancient Age Traveler,25.360113,NULL,NULL,12.99,0.512221680455397
Ancient Ancient Age Bourbon,33.813484,NULL,NULL,16.99,0.502462262531078
Ancient Ancient Age Bourbon,59.1736,NULL,NULL,28.99,0.489914423694063
Angel's Envy Port Barrel Bourbon,25.360113,NULL,NULL,49.99,1.9712057826701754
Angel's Envy Rye Whiskey,25.360113,89.18181818181819,NULL,79.99,3.154165654144332
Ardbeg 10 Year Islay Single Malt Scotch,25.360113,NULL,NULL,53.99,2.128933785589549
Ardbeg 21-year Scotch,25.360113,NULL,9.180000305175781,499.99,19.715605659836267
Ardbeg Auriverdes Scotch,25.360113,84.14285714285714,8.890000343322754,99.99,3.9428056687412
Ardbeg Corryvreckan Scotch,25.360113,90.09756097560975,9.09000015258789,84.99,3.351325657793549
Ardbeg Dark Cove Committee Release,25.360113,86.33333333333333,NULL,109.99,4.3371256760396335
Ardbeg Kelpie,25.360113,NULL,NULL,119.99,4.731445683338068
Ardbeg Perpetuum Scotch,25.360113,82.7,8.899999618530273,99.99,3.9428056687412
Ardbeg Quadrant Scotch,25.360113,NULL,NULL,52.99,2.0895017848597055
Ardbeg Supernova Scotch,25.360113,NULL,NULL,119.99,4.731445683338068
Ardbeg Uigeadall Scotch,25.360113,NULL,9.199999809265137,79.99,3.154165654144332
Ardbog Scotch,25.360113,NULL,NULL,96.99,3.82450966655167
Aristocrat Whiskey,33.813484,NULL,NULL,9.69,0.2865720528943924
Aristocrat Whiskey,59.1736,NULL,NULL,13.99,0.23642299860159913
Auchentosahn American Oak Scotch,25.360113,NULL,7.599999904632568,39.99,1.5768857753717413
Auchentoshan Three Wood Scotch,25.360113,82.34042553191489,8.25,69.99,2.759845646845898
Baker's Bourbon,25.360113,NULL,NULL,49.99,1.9712057826701754
Balcones 1 Texas Single Malt,25.360113,NULL,NULL,79.99,3.154165654144332
Balcones Baby Blue Corn Whiskey,25.360113,81.42857142857143,8.300000190734863,42.99,1.6951817775612716
Ballantine's Scotch,25.360113,NULL,NULL,19.99,0.7882456855643007
Balvenie 12 Year Single Barrel Scotch,25.360113,NULL,8.619999885559082,89.99,3.548485661442766
Balvenie 14 Year Caribbean Cask Scotch,25.360113,84.31182795698925,8.479999542236328,79.99,3.154165654144332
Balvenie 15 Year Sherry Cask Scotch,25.360113,NULL,NULL,124.99,4.928605686987285
Balvenie Doublewood 12 Year Scotch,25.360113,81.58715596330275,8.40999984741211,67.99,2.680981645386211
Balvenie Doublewood 17 Year Scotch,25.360113,86.07692307692308,8.720000267028809,149.99,5.9144060060756605
Balvenie Portwood 21 Year Scotch,25.360113,88.17948717948718,8.779999732971191,229.99,9.068966064463133
Bare Knuckle American Wheat Whiskey,25.360113,NULL,NULL,35.99,1.4191577724523678
Barterhouse Whiskey,25.360113,NULL,NULL,75.99,2.996437651224958
Basil Hayden's Bourbon,25.360113,80.14285714285714,8.380000114440918,41.99,1.6557497768314282
Bastille Hand Crafted 1789 Whiskey,25.360113,NULL,NULL,39.99,1.5768857753717413
Beam's Eight Star Whiskey,59.1736,NULL,NULL,15.99,0.2702218552805943
Belle Meade Bourbon,25.360113,75.0,NULL,41.99,1.6557497768314282
Belle Meade Bourbon Madeira Cask Finish,25.360113,NULL,NULL,84.99,3.351325657793549
Belle Meade Bourbon Sherry Finish,25.360113,NULL,NULL,85.29,3.3631553783494184
Belle Meade Bourbon Single Barrel,25.360113,NULL,NULL,68.29,2.6928113659420805
Benchmark No. 8 Bourbon,25.360113,NULL,NULL,10.99,0.4333576789957102
Benchmark No. 8 Bourbon,59.1736,NULL,NULL,21.99,0.3716184253175799
Benrinnes 21 Year Scotch,25.360113,NULL,NULL,459.99,18.138325630642534
Bernheim Original Wheat Whiskey,25.360113,NULL,NULL,26.99,1.0642696906732045
Bib & Tucker Bourbon,25.360113,NULL,NULL,88.59,3.493280800252527
Bird Dog 100ml Variety Pack #2,3.3813484,NULL,NULL,13.99,4.137402667234882
Bird Dog Apple Bourbon,1.6906742,NULL,NULL,1.19,0.7038612567983014
Bird Dog Apple Bourbon,25.360113,NULL,NULL,18.99,0.7488136848344574
Bird Dog Blackberry W/ Tervis Glass,25.360113,NULL,NULL,18.99,0.7488136848344574
Bird Dog Blackberry Whiskey,25.360113,NULL,NULL,18.99,0.7488136848344574
Bird Dog Bourbon,25.360113,NULL,NULL,18.99,0.7488136848344574
Bird Dog Chocolate Whiskey,1.6906742,NULL,NULL,1.19,0.7038612567983014
Bird Dog Cinnamon Whiskey,1.6906742,NULL,NULL,1.19,0.7038612567983014
Bird Dog Hot Cinnamon Flavored Whiskey,25.360113,NULL,NULL,18.99,0.7488136848344574
Bird Dog Jalapeno Honey Flavored Whiskey,1.6906742,NULL,NULL,1.19,0.7038612567983014
Bird Dog Jalapeno Honey Whiskey,25.360113,NULL,NULL,18.99,0.7488136848344574
Bird Dog Maple Flavored Whiskey,25.360113,NULL,NULL,18.99,0.7488136848344574
Bird Dog Maple Whiskey,1.6906742,NULL,NULL,1.19,0.7038612567983014
Bird Dog Peach Whiskey,25.360113,NULL,NULL,18.99,0.7488136848344574
Bird Dog Ruby Red Grapefruit Flavored Whiskey,1.6906742,NULL,NULL,1.19,0.7038612567983014
