"Glenfarclas 40yo","9.25","0.30","11","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Greedy Angels (8yo and 10yo)","9.20","0.20","6","$$$$$+","SingleMalt-like","ABC","C","India","Malt"
"Redbreast 21yo","9.19","0.32","13","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Amrut Spectrum","9.18","0.25","8","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Highland Park 25yo","9.17","0.24","13","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 40yo","9.17","0.43","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 25yo","9.16","0.27","9","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Laphroaig 25yo","9.16","0.31","15","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie TUN 1401 (all 8 batches)","9.15","0.30","14","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 30yo","9.15","0.41","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 49)","9.14","0.07","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Yamazaki 18yo","9.14","0.21","20","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 33)","9.13","0.13","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Sherry Cask","9.13","0.36","14","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"BenRiach 18yo Albariza Pedro Ximenez Peated","9.12","0.22","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Nikka Single Cask Coffey Malt 12yo","9.12","0.48","9","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 37)","9.11","0.06","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 40)","9.11","0.16","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 18yo","9.11","0.23","22","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 53)","9.09","0.01","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore Springtide","9.09","0.77","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 16yo Odin","9.09","0.26","7","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Yamazaki Sherry Cask (all vintages)","9.08","0.3","11","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"GlenDronach Cask Strength (batch 1)","9.06","0.27","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Benromach 10yo Cask Strength (100 proof)","9.05","0.12","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 2)","9.05","0.09","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Springbank 21yo","9.05","0.19","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 39)","9.04","0.23","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 15yo Loki","9.04","0.24","15","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 54)","9.03","0.11","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bunnahabhain 18yo","9.03","0.19","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach vintage 20yo Single Cask (all vintages)","9.03","0.38","12","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 35)","9.01","0.22","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Karuizawa 1990 Sherry Butt","9.01","0.28","4","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Aberlour A'Bunadh (Batch 36)","9.00","0.48","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 45)","9.00","0.27","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore 15yo Laimrig","9.00","0.16","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Portonova","8.99","0.30","16","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Glenmorangie Signet","8.99","0.40","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist Port Cask","8.99","0.42","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie TUN 1509 (all 3 batches)","8.98","0.22","10","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Kavalan Solist Fino Sherry Cask","8.98","0.36","10","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Kavalan Solist Vinho Barrique","8.98","0.34","13","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Tomatin 40yo","8.98","0.34","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 52)","8.97","0.14","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Hakushu Sherry Cask","8.97","0.44","7","$$$$$+","SingleMalt-like","ABC","B","Japan","Malt"
"Nikka Taketsuru 21yo","8.97","0.28","16","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 30)","8.96","0.17","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 35yo","8.96","0.59","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach vintage 19yo Single Cask (all vintages)","8.96","0.36","13","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet Alpha","8.96","0.10","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (all batches)","8.95","0.16","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Intermediate Sherry","8.95","0.41","16","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Glengoyne 40yo","8.95","0.80","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Millstone 12yo Sherry Cask","8.95","0.25","7","$$$$","SingleMalt-like","ABC","C","Netherlands","Malt"
"Aberlour A'Bunadh (Batch 47)","8.94","0.36","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 17yo Solstice Peated Port (both editions)","8.94","0.29","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 25yo","8.94","0.46","8","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 46)","8.93","0.05","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Kadhambam","8.93","0.29","12","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Bushmills 21yo Single Malt","8.93","0.34","11","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"GlenDronach 15yo Revival","8.91","0.28","19","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 3)","8.91","0.40","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 4)","8.91","0.31","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet XXV 25yo","8.91","0.19","9","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 16yo Thor","8.91","0.32","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 21yo","8.91","0.41","16","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 17yo Solstice 2nd Peated Port Finish","8.90","0.44","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 34)","8.89","0.29","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"AnCnoc 1975","8.89","0.56","4","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
